Pair   |   TWindow   |   HitTime   |   Energy
2   |   4321   |   -1.49481e+07   |   280.261
2   |   4323   |   -1.4944e+07   |   46.1503
4   |   8848   |   -3.30442e+07   |   149.758
4   |   8850   |   -3.30398e+07   |   318.441
6   |   8848   |   -3.30444e+07   |   147.309
6   |   8850   |   -3.30397e+07   |   174.726
8   |   10701   |   -3.31187e+07   |   82.6391
8   |   10703   |   -3.31143e+07   |   263.43
10   |   12334   |   -1.29456e+07   |   57.8983
10   |   12336   |   -1.29417e+07   |   43.9306
12   |   13417   |   -4.4948e+07   |   333.518
12   |   13419   |   -4.495e+07   |   283.085
14   |   13417   |   -4.49478e+07   |   176.179
14   |   13419   |   -4.49503e+07   |   326.639
16   |   24516   |   -5.77042e+06   |   195.544
16   |   24518   |   -5.77278e+06   |   314.782
